category,sub_category,product_name,Sum of sales
Furniture,Chairs,Hon Olson Stacker Stools,5294.47
Technology,Phones,GE 30524EE4,5291.74
Furniture,Chairs,Hon 2090 “Pillow Soft” Series Mid Back Swivel/Tilt Chairs,5282.42
Furniture,Chairs,"Lifetime Advantage Folding Chairs, 4/Carton",5212.11
Technology,Machines,Swingline SM12-08 MicroCut Jam Free Shredder,5204.25
Furniture,Bookcases,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",5184.1
Technology,Accessories,Razer Tiamat Over Ear 7.1 Surround Sound PC Gaming Headset,5119.74
Furniture,Tables,"Chromcraft 48"" x 96"" Racetrack Double Pedestal Table",5098.17
Office Supplies,Appliances,Hoover Shoulder Vac Commercial Portable Vacuum,5009.49
Furniture,Chairs,Safco Contoured Stacking Chairs,4982.56
Technology,Phones,Panasonic KX-TG9471B,4978.15
Furniture,Tables,Chromcraft Rectangular Conference Tables,4952.67
Technology,Phones,Apple iPhone 5S,4901.91
Furniture,Bookcases,O'Sullivan 2-Door Barrister Bookcase in Odessa Pine,4886.47
Technology,Copiers,Brother DCP1000 Digital 3 in 1 Multifunction Machine,4859.83
Office Supplies,Storage,Fellowes Staxonsteel Drawer Files,4829.25
Office Supplies,Storage,Smead Adjustable Mobile File Trolley with Lockable Top,4778.77
Furniture,Chairs,High-Back Leather Manager's Chair,4770.65
Office Supplies,Storage,SAFCO Boltless Steel Shelving,4704.71
Furniture,Chairs,Global Executive Mid-Back Manager's Chair,4626.58
Furniture,Chairs,DMI Arturo Collection Mission-style Design Wood Chair,4619.99
Technology,Phones,Polycom CX600 IP Phone VoIP phone,4619.23
Office Supplies,Storage,Letter Size Cart,4600.09
Furniture,Tables,KI Adjustable-Height Table,4552.62
Furniture,Tables,"Bevis Round Bullnose 29"" High Table Top",4544.93
Office Supplies,Storage,Fellowes Officeware Wire Shelving,4509.47
Office Supplies,Storage,"Fellowes Strictly Business Drawer File, Letter/Legal Size",4479.03
Office Supplies,Appliances,Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators,4476.96
Furniture,Tables,"Riverside Furniture Oval Coffee Table, Oval End Table, End Table with Drawer",4446.18
Technology,Phones,Nortel Meridian M3904 Professional Digital phone,4434.91
Furniture,Chairs,Global Commerce Series Low-Back Swivel/Tilt Chairs,4420.06
Technology,Copiers,Sharp 1540cs Digital Laser Copier,4399.91
Office Supplies,Storage,"Tennsco Stur-D-Stor Boltless Shelving, 5 Shelves, 24"" Deep, Sand",4384.04
Furniture,Tables,"Hon Practical Foundations 30 x 60 Training Table, Light Gray/Charcoal",4334.83
Furniture,Tables,Bevis 36 x 72 Conference Tables,4332.26
Office Supplies,Binders,GBC DocuBind TL200 Manual Binding Machine,4322.81
Furniture,Tables,"Chromcraft Bull-Nose Wood 48"" x 96"" Rectangular Conference Tables",4297.65
Technology,Machines,Cisco 9971 IP Video Phone Charcoal,4268
Technology,Phones,Motorola L703CM,4211.73
Office Supplies,Binders,GBC DocuBind 200 Manual Binding Machine,4209.81
Technology,Copiers,Hewlett Packard 310 Color Digital Copier,4199.85
Office Supplies,Storage,"SAFCO Commercial Wire Shelving, Black",4199.45
Office Supplies,Storage,Iceberg Mobile Mega Data/Printer Cart,4187.48
Furniture,Chairs,Office Star - Mid Back Dual function Ergonomic High Back Chair with 2-Way Adjustable Arms,4185.49
Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,4181.76
Technology,Phones,Cisco SPA301,4180.52
Furniture,Chairs,"Global Wood Trimmed Manager's Task Chair, Khaki",4166.89
Technology,Copiers,Canon PC-428 Personal Copier,4119.8
Technology,Phones,Wireless Extenders zBoost YX545 SOHO Signal Booster,4044.39
Office Supplies,Storage,Fellowes Super Stor/Drawer Files,4006.44
Technology,Phones,Samsung Galaxy S4 Active,3999.92
Technology,Accessories,WD My Passport Ultra 2TB Portable External Hard Drive,3998.4
Technology,Machines,Canon imageCLASS MF7460 Monochrome Digital Laser Multifunction Copier,3991.98
Furniture,Chairs,Office Star - Contemporary Swivel Chair with Padded Adjustable Arms and Flex Back,3989.73
Technology,Phones,Polycom SoundStation2 EX Conference phone,3968.51
Furniture,Tables,Hon Racetrack Conference Tables,3963.91
Technology,Copiers,Canon Image Class D660 Copier,3959.93
Furniture,Chairs,"Global Airflow Leather Mesh Back Chair, Black",3955.67
Office Supplies,Storage,Fellowes High-Stak Drawer Files,3946.66
Furniture,Furnishings,Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base,3861.05
Office Supplies,Appliances,Honeywell Enviracaire Portable HEPA Air Cleaner for 16' x 20' Room,3855.18
Technology,Phones,Polycom SoundPoint IP 450 VoIP phone,3839.63
Technology,Phones,Google Nexus 5,3815.79
Furniture,Tables,Hon Non-Folding Utility Tables,3775.66
Technology,Accessories,Logitech VX Revolution Cordless Laser Mouse for Notebooks (Black),3743.8
Furniture,Tables,"SAFCO PlanMaster Heigh-Adjustable Drafting Table Base, 43w x 30d x 30-37h, Black",3739.12
Technology,Phones,Aastra 57i VoIP phone,3684.72
Furniture,Chairs,"Office Star - Contemporary Task Swivel chair with Loop Arms, Charcoal",3680.53
Technology,Phones,Polycom VoiceStation 500 Conference phone,3657.38
Furniture,Chairs,"Situations Contoured Folding Chairs, 4/Set",3641.26
Furniture,Bookcases,"Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order",3626.02
Technology,Phones,Toshiba IPT2010-SD IP Telephone,3613.74
Furniture,Tables,"Bush Cubix Conference Tables, Fully Assembled",3603.29
Technology,Phones,Pyle PMP37LED,3590.02
Furniture,Tables,Global Adaptabilities Conference Tables,3540.35
Office Supplies,Storage,"24 Capacity Maxi Data Binder Racks, Pearl",3537.24
Furniture,Chairs,Global Comet Stacking Armless Chair,3528.79
Furniture,Tables,Hon Rectangular Conference Tables,3481.52
Furniture,Tables,"Iceberg OfficeWorks 42"" Round Tables",3457.44
Furniture,Bookcases,"Global Adaptabilites Bookcase, Cherry/Storm Gray Finish",3447.84
Furniture,Bookcases,O'Sullivan Living Dimensions 5-Shelf Bookcases,3420.77
Technology,Phones,Geemarc AmpliPOWER60,3415.04
Technology,Machines,Hewlett-Packard Desktjet 6988DT Refurbished Printer,3404.5
Furniture,Tables,Bush Advantage Collection Round Conference Table,3401.6
Office Supplies,Storage,Fellowes Stor/Drawer Steel Plus Storage Drawers,3397.31
Furniture,Tables,"Chromcraft Bull-Nose Wood Round Conference Table Top, Wood Base",3354.9
Office Supplies,Labels,"Dot Matrix Printer Tape Reel Labels, White, 5000/Box",3322.87
Furniture,Bookcases,"Bush Andora Bookcase, Maple/Graphite Gray Finish",3317.72
Furniture,Furnishings,Tenex Antistatic Computer Chair Mats,3317.02
Furniture,Tables,Bevis 44 x 96 Conference Tables,3253.22
Office Supplies,Binders,Ibico EB-19 Dual Function Manual Binding System,3234.9
Office Supplies,Binders,GBC ProClick 150 Presentation Binding System,3222.99
Technology,Machines,Okidata C331dn Printer,3210.8
Office Supplies,Storage,Office Impressions Heavy Duty Welded Shelving & Multimedia Storage Drawers,3178.13
Technology,Phones,Panasonic KX T7731-B Digital phone,3168.6
Technology,Phones,Jabra SPEAK 410,3158.07
Furniture,Chairs,"Global Fabric Manager's Chair, Dark Gray",3150.58
Furniture,Tables,Hon 2111 Invitation Series Corner Table,3140.56
Office Supplies,Storage,Economy Rollaway Files,3138.8
Technology,Phones,BlackBerry Q10,3099.36
Technology,Phones,Panasonic KX-TG9541B DECT 6.0 Digital 2-Line Expandable Cordless Phone With Digital Answering System,3059.8
Office Supplies,Appliances,Hoover WindTunnel Plus Canister Vacuum,3051.3
Technology,Phones,Digium D40 VoIP phone,3044.16
Technology,Machines,Hewlett-Packard Deskjet 3050a All-in-One Color Inkjet Printer,3040
Office Supplies,Appliances,"Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection",3039.5
Office Supplies,Storage,Space Solutions HD Industrial Steel Shelving.,3035.21
Office Supplies,Storage,Carina Double Wide Media Storage Towers in Natural & Black,3028.65
Office Supplies,Supplies,Compact Automatic Electric Letter Opener,2982.75
Furniture,Tables,"SAFCO PlanMaster Boards, 60w x 37-1/2d, White Melamine",2979.01
Furniture,Bookcases,O'Sullivan Living Dimensions 2-Shelf Bookcases,2970.07
Office Supplies,Appliances,Avanti 4.4 Cu. Ft. Refrigerator,2968.07
Furniture,Chairs,"Global Manager's Adjustable Task Chair, Storm",2959.21
Office Supplies,Binders,GBC DocuBind P100 Manual Binding Machine,2954.44
Furniture,Bookcases,O'Sullivan Plantations 2-Door Library in Landvery Oak,2946.36
Office Supplies,Appliances,3.6 Cubic Foot Counter Height Office Refrigerator,2946.19
Furniture,Chairs,Novimex Swivel Fabric Task Chair,2913.92
Technology,Phones,ShoreTel ShorePhone IP 230 VoIP phone,2906.62
Furniture,Bookcases,O'Sullivan Living Dimensions 3-Shelf Bookcases,2904.16
Office Supplies,Appliances,Kensington 7 Outlet MasterPiece Power Center,2883.28
Technology,Accessories,Logitech Wireless Gaming Headset G930,2879.82
Technology,Phones,Bose SoundLink Bluetooth Speaker,2865.6
Furniture,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",2863.8
Furniture,Tables,"Lesro Round Back Collection Coffee Table, End Table",2847.79
Office Supplies,Supplies,Premier Automatic Letter Opener,2836.36
Technology,Accessories,Logitech Wireless Headset h800,2799.72
Office Supplies,Paper,Xerox 1915,2789.01
Furniture,Furnishings,Electrix Halogen Magnifier Lamp,2759.06
Technology,Accessories,Maxell iVDR EX 500GB Cartridge,2755.4
Technology,Phones,VTech DS6151,2746.57
Furniture,Bookcases,O'Sullivan 4-Shelf Bookcase in Odessa Pine,2740.2
Office Supplies,Storage,"Carina Mini System Audio Rack, Model AR050B",2730.11
Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",2706.08
Furniture,Chairs,Hon Mobius Operator's Chair,2705.78
Furniture,Furnishings,"GE 48"" Fluorescent Tube, Cool White Energy Saver, 34 Watts, 30/Box",2699.05
Furniture,Tables,"Bevis Round Conference Table Top, X-Base",2671.43
Technology,Accessories,Imation Bio 8GB USB Flash Drive Imation Corp,2659.84
Furniture,Chairs,Global Highback Leather Tilter in Burgundy,2647.82
Technology,Phones,Cisco 8x8 Inc. 6753i IP Business Phone System,2645.81
Office Supplies,Supplies,Premier Electric Letter Opener,2641.62
Technology,Phones,Vtech CS6719,2630.12
Technology,Accessories,NETGEAR AC1750 Dual Band Gigabit Smart WiFi Router,2623.84
Technology,Accessories,Razer Kraken 7.1 Surround Sound Over Ear USB Gaming Headset,2619.74
Office Supplies,Storage,Fellowes Bankers Box Staxonsteel Drawer File/Stacking System,2612.19
Technology,Phones,Motorola Droid Maxx,2609.82
Furniture,Chairs,Hon Deluxe Fabric Upholstered Stacking Chairs,2586.19
Office Supplies,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",2552.54
Furniture,Tables,Bevis Boat-Shaped Conference Table,2542.47
Technology,Machines,Fellowes Powershred HS-440 4-Sheet High Security Shredder,2541.84
Technology,Machines,Xerox WorkCentre 6505DN Laser Multifunction Printer,2519.96
Office Supplies,Storage,Safco Industrial Wire Shelving System,2511.04
Office Supplies,Paper,Easy-staple paper,2504.18
Office Supplies,Appliances,Kensington 7 Outlet MasterPiece HOMEOFFICE Power Control Center,2491.28
Office Supplies,Appliances,Kensington 4 Outlet MasterPiece Compact Power Control Center,2488.39
Furniture,Bookcases,"Rush Hierlooms Collection 1"" Thick Stackable Bookcases",2487.76
Office Supplies,Storage,Sensible Storage WireTech Storage Systems,2484.31
Technology,Phones,Wi-Ex zBoost YX540 Cellular Phone Signal Booster,2481.15
Technology,Accessories,Enermax Acrylux Wireless Keyboard,2450.16
Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray",2442.04
Technology,Machines,Panasonic KX MB2061 Multifunction Printer,2396.4
Furniture,Chairs,Global Super Steno Chair,2389.9
Furniture,Chairs,Harbour Creations Steel Folding Chair,2389.13
Technology,Accessories,Logitech Gaming G510s - Keyboard,2362.72
Technology,Machines,"3D Systems Cube Printer, 2nd Generation, White",2339.98
Technology,Accessories,Logitech G700s Rechargeable Gaming Mouse,2339.76
Technology,Machines,StarTech.com 10/100 VDSL2 Ethernet Extender Kit,2330.65
Office Supplies,Storage,"Fellowes Mobile File Cart, Black",2300.66
Office Supplies,Storage,"Gould Plastics 18-Pocket Panel Bin, 34w x 5-1/4d x 20-1/2h",2299.74
Furniture,Tables,"Lesro Sheffield Collection Coffee Table, End Table, Center Table, Corner Table",2298.12
Furniture,Tables,Bevis Round Conference Table Top & Single Column Base,2297.54
Technology,Phones,Xiaomi Mi3,2279.96
Furniture,Furnishings,"Tenex 46"" x 60"" Computer Anti-Static Chairmat, Rectangular Shaped",2267.97
Office Supplies,Binders,GBC DocuBind P50 Personal Binding Machine,2264.89
Technology,Phones,Cisco IP Phone 7961G-GE VoIP phone,2252.44
Technology,Accessories,Plantronics S12 Corded Telephone Headset System,2242.04
Furniture,Tables,BPI Conference Tables,2241.87
Technology,Phones,Plantronics HL10 Handset Lifter,2227.01
Technology,Phones,Konftel 250 Conference phone - Charcoal black,2221.59
Office Supplies,Appliances,Avanti 1.7 Cu. Ft. Refrigerator,2221.56
Furniture,Chairs,Office Star - Ergonomic Mid Back Chair with 2-Way Adjustable Arms,2207.96
Furniture,Chairs,"Global Value Steno Chair, Gray",2204.85
Furniture,Chairs,Office Star - Mesh Screen back chair with Vinyl seat,2200.46
Furniture,Furnishings,"3M Polarizing Task Lamp with Clamp Arm, Light Gray",2191.68
Furniture,Chairs,"Global Push Button Manager's Chair, Indigo",2185.96
Technology,Phones,Jabra Supreme Plus Driver Edition Headset,2159.82
Technology,Accessories,Razer Kraken PRO Over Ear PC and Music Headset,2159.73
Technology,Accessories,Logitech G35 7.1-Channel Surround Sound Headset,2157.83
Technology,Phones,Samsung Galaxy Note 3,2155.9
Office Supplies,Paper,Xerox 1881,2155.07
Furniture,Bookcases,Sauder Inglewood Library Bookcases,2154.35
Office Supplies,Paper,"White Dual Perf Computer Printout Paper, 2700 Sheets, 1 Part, Heavyweight, 20 lbs., 14 7/8 x 11",2141.64
Furniture,Tables,KI Conference Tables,2140.9
Technology,Phones,Mitel 5320 IP Phone VoIP phone,2116.68
Technology,Accessories,Imation Bio 2GB USB Flash Drive Imation Corp,2098.88
Furniture,Tables,Laminate Occasional Tables,2096.17
Office Supplies,Binders,Avery Arch Ring Binders,2068.82
Furniture,Furnishings,"Rubbermaid ClusterMat Chairmats, Mat Size- 66"" x 60"", Lip 20"" x 11"" -90 Degree Angle",2064.22
Technology,Phones,Cisco SPA 502G IP Phone,2063.14
Furniture,Furnishings,"Tenex Chairmat w/ Average Lip, 45"" x 53""",2058.5
Technology,Phones,HTC One Mini,2041.03
Furniture,Tables,Hon 2111 Invitation Series Straight Table,2040.06
Furniture,Tables,"Bevis Traditional Conference Table Top, Plinth Base",2033.5
Furniture,Chairs,Global Enterprise Series Seating High-Back Swivel/Tilt Chairs,2032.35
Technology,Phones,Jawbone MINI JAMBOX Wireless Bluetooth Speaker,2027.31
Technology,Phones,Jawbone JAMBOX Wireless Bluetooth Speaker,2022.27
Technology,Phones,Jabra SPEAK 410 Multidevice Speakerphone,2018.7
Technology,Phones,Ooma Telo VoIP Home Phone System,2015.83
Technology,Machines,Okidata C610n Printer,2011.9
Office Supplies,Appliances,Belkin 7 Outlet SurgeMaster II,2010.86
Technology,Accessories,Logitech G602 Wireless Gaming Mouse,1999.74
Technology,Phones,Adtran 1202752G1,1990.65
Technology,Phones,"Ativa D5772 2-Line 5.8GHz Digital Expandable Corded/Cordless Phone System with Answering & Caller ID/Call Waiting, Black/Silver",1979.88
Office Supplies,Storage,Space Solutions Commercial Steel Shelving,1952.43
Furniture,Chairs,Office Star Flex Back Scooter Chair with Aluminum Finish Frame,1947.18
Office Supplies,Appliances,Harmony Air Purifier,1946.7
Technology,Phones,AT&T 1080 Corded phone,1945.26
Technology,Phones,AT&T CL83451 4-Handset Telephone,1936.3
Technology,Accessories,Imation Secure+ Hardware Encrypted USB 2.0 Flash Drive; 16GB,1926.92
Technology,Phones,Logitech Mobile Speakerphone P710e - speaker phone,1916.71
Technology,Accessories,Plantronics Audio 995 Wireless Stereo Headset,1913.13
Furniture,Bookcases,"O'Sullivan Elevations Bookcase, Cherry Finish",1912.31
Furniture,Bookcases,"Sauder Camden County Collection Libraries, Planked Cherry Finish",1909.82
Technology,Phones,Polycom SoundPoint Pro SE-225 Corded phone,1903.84
Furniture,Bookcases,Bestar Classic Bookcase,1897.81
Furniture,Chairs,Novimex Fabric Task Chair,1890.39
Technology,Accessories,NETGEAR N750 Dual Band Wi-Fi Gigabit Router,1890
Office Supplies,Paper,Multicolor Computer Printout Paper,1887.3
Technology,Phones,Nortel Networks T7316 E Nt8 B27,1876.52
Office Supplies,Storage,"Recycled Data-Pak for Archival Bound Computer Printouts, 12-1/2 x 12-1/2 x 16",1857.26
Furniture,Chairs,Office Star - Contemporary Task Swivel Chair,1842.26
Furniture,Furnishings,"Howard Miller 14-1/2"" Diameter Chrome Round Wall Clock",1834.82
Furniture,Chairs,"Padded Folding Chairs, Black, 4/Carton",1830.14
Technology,Phones,LG G3,1803.11
Technology,Accessories,Logitech Wireless Performance Mouse MX for PC and Mac,1799.82
Office Supplies,Paper,Xerox 189,1782.45
Office Supplies,Appliances,Belkin 5 Outlet SurgeMaster Power Centers,1776.05
Furniture,Chairs,Office Star Flex Back Scooter Chair with White Frame,1775.67
Furniture,Chairs,Bevis Steel Folding Chairs,1775.08
Technology,Phones,GE 2-Jack Phone Line Splitter,1771.52
Furniture,Chairs,Global Deluxe Steno Chair,1770.53
Office Supplies,Storage,Tennsco Regal Shelving Units,1764.53
Office Supplies,Appliances,Honeywell Quietcare HEPA Air Cleaner,1761.76
Furniture,Chairs,"Global Geo Office Task Chair, Gray",1757.26
Furniture,Chairs,Global Low Back Tilter Chair,1746.95
Office Supplies,Paper,Xerox 1941,1740.51
Technology,Phones,AT&T TR1909W,1738.67
Technology,Phones,Jabra BIZ 2300 Duo QD Duo Corded Headset,1727.07
Technology,Accessories,First Data FD10 PIN Pad,1722.2
Office Supplies,Storage,"Sauder Facets Collection Locker/File Cabinet, Sky Alder Finish",1706.51
Furniture,Tables,BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,1706.26
Technology,Accessories,Kensington Orbit Wireless Mobile Trackball for PC and Mac,1703.72
Office Supplies,Paper,Xerox 1945,1696.98
Technology,Accessories,Kensington Expert Mouse Optical USB Trackball for PC or Mac,1690.83
Furniture,Chairs,"Global Leather & Oak Executive Chair, Burgundy",1689.97
Furniture,Chairs,Hon Comfortask Task/Swivel Chairs,1686.9
Office Supplies,Envelopes,Staple envelope,1686.79
Furniture,Furnishings,Deflect-o DuraMat Antistatic Studded Beveled Mat for Medium Pile Carpeting,1685.44
Technology,Phones,ClearOne Communications CHAT 70 OC Speaker Phone,1685.3
Technology,Phones,Polycom CX300 Desktop Phone USB VoIP phone,1679.88
Office Supplies,Appliances,"Eureka The Boss Plus 12-Amp Hard Box Upright Vacuum, Red",1674.4
Technology,Phones,Panasonic KX TS3282W Corded phone,1665.8
Furniture,Bookcases,O'Sullivan Manor Hill 2-Door Library in Brianna Oak,1646.92
Technology,Accessories,Enermax Aurora Lite Keyboard,1641.15
Office Supplies,Storage,"Carina 42""Hx23 3/4""W Media Storage Unit",1635.79
Technology,Phones,Motorola Moto X,1631.95
Furniture,Furnishings,"Deflect-o RollaMat Studded, Beveled Mat for Medium Pile Carpeting",1623.25
Technology,Machines,Panasonic KX MC6040 Color Laser Multifunction Printer,1619.82
Technology,Accessories,Plantronics Audio 478 Stereo USB Headset,1619.68
Office Supplies,Art,"Hunt PowerHouse Electric Pencil Sharpener, Blue",1617.95
Technology,Accessories,Logitech G600 MMO Gaming Mouse,1615.8
Technology,Phones,AT&T 841000 Phone,1614.6
Furniture,Chairs,"Iceberg Nesting Folding Chair, 19w x 6d x 43h",1589.41
Technology,Phones,AT&T 1080 Phone,1589.08
Technology,Phones,Mophie Juice Pack Helium for iPhone,1583.81
Furniture,Furnishings,Deflect-o Glass Clear Studded Chair Mats,1579.37
Technology,Accessories,Microsoft Sculpt Comfort Mouse,1574.03
Office Supplies,Binders,GBC ProClick Punch Binding System,1573.91
Furniture,Bookcases,"Hon Metal Bookcases, Black",1570.08
Office Supplies,Paper,Xerox 1919,1565.81
Office Supplies,Envelopes,Cameo Buff Policy Envelopes,1555.75
