category,sub_category,product_name,Sum of profit
Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",1927.45
Technology,Phones,Samsung Galaxy Mega 6.3,1822.75
Technology,Copiers,Canon Image Class D660 Copier,1691.97
Technology,Machines,Hewlett-Packard Desktjet 6988DT Refurbished Printer,1668.21
Office Supplies,Appliances,"Sanyo Counter Height Refrigerator with Crisper, 3.6 Cubic Foot, Stainless Steel/Black",1653.83
Technology,Copiers,Sharp 1540cs Digital Laser Copier,1649.98
Office Supplies,Storage,"Dual Level, Single-Width Filing Carts",1640.54
Technology,Phones,Apple iPhone 5,1611.58
Office Supplies,Binders,GBC DocuBind TL200 Manual Binding Machine,1592.48
Office Supplies,Storage,Tennsco 6- and 18-Compartment Lockers,1575.09
Furniture,Chairs,Global Deluxe High-Back Manager's Chair,1558.59
Furniture,Chairs,Hon Pagoda Stacking Chairs,1540.7
Office Supplies,Labels,"Dot Matrix Printer Tape Reel Labels, White, 5000/Box",1517.91
Office Supplies,Appliances,Honeywell Enviracaire Portable HEPA Air Cleaner for 16' x 20' Room,1503.52
Technology,Copiers,Canon PC-428 Personal Copier,1469.92
Technology,Machines,Hewlett-Packard Deskjet 3050a All-in-One Color Inkjet Printer,1459.2
Technology,Accessories,Logitech diNovo Edge Keyboard,1432.45
Furniture,Chairs,Hon 4070 Series Pagoda Armless Upholstered Stacking Chairs,1388.65
Office Supplies,Storage,Deluxe Rollaway Locking File with Drawer,1380.72
Technology,Machines,Bady BDG101FRU Card Printer,1327.99
Furniture,Chairs,Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat,1305.66
Furniture,Chairs,Hon Olson Stacker Chairs,1292.12
Office Supplies,Paper,Xerox 1915,1262.4
Office Supplies,Storage,Standard Rollaway File with Lock,1261.34
Furniture,Furnishings,"GE 48"" Fluorescent Tube, Cool White Energy Saver, 34 Watts, 30/Box",1260.23
Office Supplies,Storage,Letter Size Cart,1252.9
Furniture,Chairs,Hon GuestStacker Chair,1233.07
Technology,Accessories,Maxell iVDR EX 500GB Cartridge,1184.83
Furniture,Chairs,SAFCO Arco Folding Chair,1179.37
Technology,Phones,Panasonic KX-TG9471B,1168.11
Technology,Copiers,Brother DCP1000 Digital 3 in 1 Multifunction Machine,1154.97
Technology,Phones,Panasonic KX-TG9541B DECT 6.0 Digital 2-Line Expandable Cordless Phone With Digital Answering System,1147.43
Office Supplies,Storage,Tennsco 16-Compartment Lockers with Coat Rack,1114.37
Office Supplies,Storage,Smead Adjustable Mobile File Trolley with Lockable Top,1106.66
Technology,Phones,Samsung Galaxy S4 Mini,1104.49
Office Supplies,Paper,Easy-staple paper,1096
Technology,Machines,Fellowes Powershred HS-440 4-Sheet High Security Shredder,1092.68
Office Supplies,Binders,Ibico EB-19 Dual Function Manual Binding System,1086.35
Technology,Phones,ClearOne CHATAttach 160 - speaker phone,1056.39
Furniture,Chairs,Hon 4070 Series Pagoda Round Back Stacking Chairs,1052.82
Office Supplies,Binders,GBC DocuBind 200 Manual Binding Machine,1052.46
Technology,Phones,Wilson SignalBoost 841262 DB PRO Amplifier Kit,1043.87
Technology,Phones,Samsung Galaxy S4 Active,1039.98
Office Supplies,Paper,Xerox 1881,1000.65
Technology,Accessories,Razer Kraken 7.1 Surround Sound Over Ear USB Gaming Headset,995.91
Office Supplies,Storage,Iceberg Mobile Mega Data/Printer Cart,981.89
Furniture,Chairs,"Lifetime Advantage Folding Chairs, 4/Carton",972.64
Technology,Phones,Bose SoundLink Bluetooth Speaker,967.14
Office Supplies,Appliances,Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators,956.96
Furniture,Chairs,Global Troy Executive Leather Low-Back Tilter,951.88
Office Supplies,Paper,"White Dual Perf Computer Printout Paper, 2700 Sheets, 1 Part, Heavyweight, 20 lbs., 14 7/8 x 11",947.54
Technology,Phones,Nortel Meridian M3904 Professional Digital phone,936.25
Furniture,Chairs,Global Commerce Series High-Back Swivel/Tilt Chairs,926.19
Technology,Phones,Cisco SPA301,904.74
Technology,Phones,Polycom VVX 310 VoIP phone,899.96
Technology,Phones,Polycom CX600 IP Phone VoIP phone,896.85
Technology,Accessories,Logitech G700s Rechargeable Gaming Mouse,889.92
Technology,Accessories,Imation Bio 2GB USB Flash Drive Imation Corp,881.53
Technology,Machines,Okidata MB760 Printer,881.37
Technology,Phones,Jawbone JAMBOX Wireless Bluetooth Speaker,872.1
Furniture,Chairs,"Global Leather and Oak Executive Chair, Black",854.78
Office Supplies,Paper,Multicolor Computer Printout Paper,851.38
Technology,Copiers,Hewlett Packard 310 Color Digital Copier,839.99
Technology,Phones,GE 30524EE4,838.84
Furniture,Chairs,Hon Olson Stacker Stools,833.59
Furniture,Chairs,Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms,833
Furniture,Chairs,Hon Multipurpose Stacking Arm Chairs,814.41
Furniture,Chairs,Global Ergonomic Managers Chair,785.43
Technology,Phones,Mitel MiVoice 5330e IP Phone,780.96
Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",780.32
Furniture,Chairs,GuestStacker Chair with Chrome Finish Legs,773.25
Technology,Accessories,Logitech Wireless Gaming Headset G930,763.15
Office Supplies,Binders,GBC Ibimaster 500 Manual ProClick Binding System,760.98
Office Supplies,Paper,Xerox 1945,756.29
Technology,Accessories,Plantronics S12 Corded Telephone Headset System,754.53
Office Supplies,Envelopes,Staple envelope,751.6
Furniture,Chairs,Global Executive Mid-Back Manager's Chair,750.72
Office Supplies,Paper,Xerox 189,746.53
Technology,Phones,Wireless Extenders zBoost YX545 SOHO Signal Booster,733.28
Office Supplies,Paper,Xerox 1919,729.64
Technology,Accessories,NETGEAR AC1750 Dual Band Gigabit Smart WiFi Router,723.16
Technology,Accessories,Enermax Aurora Lite Keyboard,722.12
Technology,Accessories,Logitech Wireless Headset h800,719.93
Office Supplies,Appliances,Hoover Shoulder Vac Commercial Portable Vacuum,715.65
Technology,Phones,Google Nexus 5,710.95
Office Supplies,Paper,Xerox 1941,704.59
Furniture,Chairs,Global Leather Executive Chair,701.99
Technology,Accessories,Logitech G35 7.1-Channel Surround Sound Headset,699.35
Office Supplies,Appliances,Hoover WindTunnel Plus Canister Vacuum,697.44
Furniture,Chairs,Global Comet Stacking Arm Chair,697.13
Office Supplies,Storage,Economy Rollaway Files,693.82
Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,693.56
Furniture,Chairs,Safco Contoured Stacking Chairs,691.36
Technology,Accessories,Logitech Gaming G510s - Keyboard,676.53
Technology,Phones,Jabra SPEAK 410,654.17
Technology,Machines,Cisco SPA525G2 5-Line IP Phone,648.56
Technology,Accessories,Microsoft Sculpt Comfort Mouse,634.4
Office Supplies,Envelopes,Cameo Buff Policy Envelopes,632.25
Technology,Accessories,Enermax Acrylux Wireless Keyboard,630.47
Furniture,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",627.18
Technology,Accessories,NETGEAR N750 Dual Band Wi-Fi Gigabit Router,622.8
Office Supplies,Paper,Xerox 1893,619.37
Furniture,Tables,"SAFCO PlanMaster Heigh-Adjustable Drafting Table Base, 43w x 30d x 30-37h, Black",608.04
Technology,Phones,"Ativa D5772 2-Line 5.8GHz Digital Expandable Corded/Cordless Phone System with Answering & Caller ID/Call Waiting, Black/Silver",593.97
Technology,Phones,Xiaomi Mi3,592.79
Technology,Accessories,Plantronics Audio 995 Wireless Stereo Headset,587.13
Technology,Phones,Panasonic KX T7731-B Digital phone,581.65
Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",578.68
Technology,Phones,Pyle PMP37LED,576.9
Technology,Phones,Aastra 57i VoIP phone,575.33
Office Supplies,Paper,Xerox 1917,574.69
Furniture,Chairs,"Global Airflow Leather Mesh Back Chair, Black",573.72
Technology,Phones,Digium D40 VoIP phone,571.4
Office Supplies,Envelopes,Tyvek Side-Opening Peel & Seel Expanding Envelopes,570.02
Furniture,Furnishings,"3M Polarizing Task Lamp with Clamp Arm, Light Gray",569.84
Office Supplies,Binders,GBC DocuBind P50 Personal Binding Machine,569.4
Furniture,Bookcases,O'Sullivan 2-Door Barrister Bookcase in Odessa Pine,566.48
Office Supplies,Appliances,Kensington 7 Outlet MasterPiece HOMEOFFICE Power Control Center,563.81
Office Supplies,Binders,GBC ProClick Punch Binding System,562.38
Office Supplies,Envelopes,Ames Color-File Green Diamond Border X-ray Mailers,559.3
Office Supplies,Appliances,Honeywell Quietcare HEPA Air Cleaner,549.76
Technology,Phones,BlackBerry Q10,548.06
Office Supplies,Paper,White Computer Printout Paper by Universal,547.67
Office Supplies,Paper,Xerox 1891,542.92
Furniture,Tables,Hon Non-Folding Utility Tables,541.66
Technology,Accessories,Logitech G600 MMO Gaming Mouse,540.73
Technology,Phones,Wi-Ex zBoost YX540 Cellular Phone Signal Booster,540.04
Office Supplies,Storage,"24 Capacity Maxi Data Binder Racks, Pearl",536.91
Technology,Accessories,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,536.24
Office Supplies,Paper,Xerox 1934,526.21
Office Supplies,Labels,"Avery 4027 File Folder Labels for Dot Matrix Printers, 5000 Labels per Box, White",524.52
Technology,Phones,Polycom SoundStation2 EX Conference phone,518.34
Technology,Accessories,Logitech Illuminated - Keyboard,515.93
Technology,Phones,Wilson Electronics DB Pro Signal Booster,515.52
Technology,Accessories,Logitech G602 Wireless Gaming Mouse,515.14
Technology,Accessories,Plantronics Audio 478 Stereo USB Headset,514.9
Office Supplies,Envelopes,Airmail Envelopes,514.48
Furniture,Chairs,Global Comet Stacking Armless Chair,514.36
Technology,Phones,Apple iPhone 5S,512.99
Technology,Accessories,Logitech Wireless Marathon Mouse M705,511.89
Office Supplies,Storage,Fellowes Staxonsteel Drawer Files,509.98
Technology,Machines,Zebra GX420t Direct Thermal/Thermal Transfer Printer,509.71
Furniture,Chairs,"Global Fabric Manager's Chair, Dark Gray",499.87
Technology,Accessories,WD My Passport Ultra 2TB Portable External Hard Drive,499.8
Furniture,Chairs,Hon Mobius Operator's Chair,499.33
Technology,Accessories,Logitech Wireless Performance Mouse MX for PC and Mac,497.95
Office Supplies,Paper,Xerox 1906,497.58
Office Supplies,Binders,GBC DocuBind 300 Electric Binding Machine,494.42
Furniture,Chairs,"Global Manager's Adjustable Task Chair, Storm",493.7
Office Supplies,Paper,"Eaton Premium Continuous-Feed Paper, 25% Cotton, Letter Size, White, 1000 Shts/Box",492.66
Office Supplies,Binders,GBC DocuBind P100 Manual Binding Machine,489.65
Furniture,Chairs,DMI Arturo Collection Mission-style Design Wood Chair,486.15
Office Supplies,Storage,"Fellowes Mobile File Cart, Black",485.03
Technology,Accessories,Razer Kraken PRO Over Ear PC and Music Headset,479.94
Technology,Phones,VTech DS6151,478.78
Office Supplies,Appliances,Avanti 1.7 Cu. Ft. Refrigerator,476.63
Technology,Phones,AT&T CL83451 4-Handset Telephone,473.78
Office Supplies,Storage,Fellowes Super Stor/Drawer Files,473.34
Technology,Phones,Motorola L703CM,467.98
Technology,Machines,Cisco 9971 IP Video Phone Charcoal,466.4
Technology,Machines,DYMO CardScan Personal V9 Business Card Scanner,463.97
Office Supplies,Paper,Xerox 1885,461.2
Furniture,Tables,Bretford CR8500 Series Meeting Room Furniture,461.13
Office Supplies,Appliances,Hoover Upright Vacuum With Dirt Cup,460.35
Office Supplies,Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",453.76
Office Supplies,Binders,GBC Recycled Regency Composition Covers,451.94
Furniture,Furnishings,"Howard Miller 11-1/2"" Diameter Ridgewood Wall Clock",448.77
Furniture,Tables,Bevis 36 x 72 Conference Tables,448.17
Office Supplies,Art,"Hunt PowerHouse Electric Pencil Sharpener, Blue",448.17
Technology,Phones,Samsung Galaxy S4,438.2
Furniture,Furnishings,"Howard Miller 14-1/2"" Diameter Chrome Round Wall Clock",436.43
Technology,Phones,netTALK DUO VoIP Telephone Service,430.41
Furniture,Tables,"Hon Practical Foundations 30 x 60 Training Table, Light Gray/Charcoal",430.07
Office Supplies,Storage,Tennsco Double-Tier Lockers,429.8
Technology,Accessories,Logitech G500s Laser Gaming Mouse with Adjustable Weight Tuning,429.73
Furniture,Chairs,Office Star - Contemporary Swivel Chair with Padded Adjustable Arms and Flex Back,425.76
Technology,Phones,Toshiba IPT2010-SD IP Telephone,425.32
Office Supplies,Paper,Xerox 1914,423.74
Technology,Phones,ShoreTel ShorePhone IP 230 VoIP phone,422.47
Office Supplies,Envelopes,"Tyvek Interoffice Envelopes, 9 1/2"" x 12 1/2"", 100/Box",421.97
Office Supplies,Storage,Fellowes High-Stak Drawer Files,419.33
Technology,Phones,Vtech CS6719,418.52
Office Supplies,Appliances,Honeywell Enviracaire Portable HEPA Air Cleaner for up to 10 x 16 Room,417.02
Office Supplies,Paper,Xerox 1916,415.27
Office Supplies,Storage,"Recycled Data-Pak for Archival Bound Computer Printouts, 12-1/2 x 12-1/2 x 16",414.93
Furniture,Chairs,Office Star Flex Back Scooter Chair with Aluminum Finish Frame,413.64
Office Supplies,Binders,GBC Therma-A-Bind 250T Electric Binding System,413.24
Technology,Phones,LG G3,411.58
Technology,Accessories,Maxell 4.7GB DVD-R,411.23
Furniture,Bookcases,"Rush Hierlooms Collection 1"" Thick Stackable Bookcases",410.36
Technology,Accessories,Imation Secure+ Hardware Encrypted USB 2.0 Flash Drive; 16GB,408.75
Office Supplies,Paper,Xerox 1988,404.31
Office Supplies,Appliances,"Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection",401.22
Office Supplies,Paper,Xerox 1909,400.97
Technology,Accessories,Imation Bio 8GB USB Flash Drive Imation Corp,398.98
Technology,Phones,Nortel Networks T7316 E Nt8 B27,397.75
Technology,Machines,Ativa MDM8000 8-Sheet Micro-Cut Shredder,393.26
Office Supplies,Storage,"Fellowes Strictly Business Drawer File, Letter/Legal Size",388.76
Technology,Phones,Geemarc AmpliPOWER60,384.18
Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",381.21
Office Supplies,Paper,Green Bar Computer Printout Paper,380.87
Office Supplies,Appliances,Kensington 4 Outlet MasterPiece Compact Power Control Center,380.58
Technology,Accessories,Logitech G430 Surround Sound Gaming Headset with Dolby 7.1 Technology,377.56
Technology,Phones,Plantronics Voyager Pro HD - Bluetooth Headset,376.94
Office Supplies,Appliances,Belkin 7 Outlet SurgeMaster II,376.5
Office Supplies,Paper,Xerox 1913,375.04
Office Supplies,Appliances,Harmony Air Purifier,374.22
Office Supplies,Binders,GBC Prestige Therm-A-Bind Covers,364.72
Furniture,Bookcases,"Hon Metal Bookcases, Putty",362.72
Technology,Phones,Avaya IP Phone 1140E VoIP phone,362.69
Furniture,Furnishings,Luxo Adjustable Task Clamp Lamp,362.47
Technology,Accessories,Kensington Expert Mouse Optical USB Trackball for PC or Mac,360.98
Technology,Machines,Star Micronics TSP800 TSP847IIU Receipt Printer,360.31
Technology,Accessories,Kensington Orbit Wireless Mobile Trackball for PC and Mac,357.55
Furniture,Tables,Global Adaptabilities Conference Tables,354.04
Office Supplies,Paper,Xerox 1883,354.01
Technology,Phones,Samsung Galaxy Note 2,353.79
Office Supplies,Binders,Avery Arch Ring Binders,349.63
Furniture,Furnishings,Luxo Professional Combination Clamp-On Lamps,345.78
Furniture,Chairs,Office Star - Mid Back Dual function Ergonomic High Back Chair with 2-Way Adjustable Arms,342.88
Technology,Phones,Motorola Droid Maxx,341.98
Furniture,Furnishings,"Howard Miller 13"" Diameter Pewter Finish Round Wall Clock",340.52
Technology,Phones,AT&T TR1909W,340.18
Technology,Phones,Polycom VoiceStation 500 Conference phone,339.21
Furniture,Chairs,Harbour Creations Steel Folding Chair,336.39
Technology,Phones,GE 30522EE2,336.37
Office Supplies,Paper,Xerox 1960,334.58
Office Supplies,Binders,Satellite Sectional Post Binders,329.03
Office Supplies,Binders,Ibico Plastic Spiral Binding Combs,328.92
Office Supplies,Paper,Xerox 1943,328.67
Technology,Phones,Konftel 250 Conference phone - Charcoal black,324.7
Technology,Phones,Avaya 5420 Digital phone,323.98
Furniture,Furnishings,"Howard Miller 13"" Diameter Goldtone Round Wall Clock",322.95
Office Supplies,Paper,Tops White Computer Printout Paper,321.83
Technology,Accessories,SanDisk Cruzer 64 GB USB Flash Drive,319.61
Furniture,Furnishings,Deflect-o Glass Clear Studded Chair Mats,318.37
Technology,Phones,HTC One Mini,317.5
Office Supplies,Paper,Xerox 191,316.67
Technology,Phones,Ooma Telo VoIP Home Phone System,314.98
Furniture,Furnishings,Electrix Halogen Magnifier Lamp,314.77
Office Supplies,Paper,Xerox 1964,314.73
Technology,Phones,Adtran 1202752G1,312.46
Furniture,Tables,"Bush Cubix Conference Tables, Fully Assembled",311.82
Furniture,Furnishings,"Advantus Employee of the Month Certificate Frame, 11 x 13-1/2",311.78
Office Supplies,Appliances,Kensington 7 Outlet MasterPiece Power Center with Fax/Phone Line Protection,311.22
Furniture,Bookcases,Sauder Inglewood Library Bookcases,311.18
Office Supplies,Art,Boston Heavy-Duty Trimline Electric Pencil Sharpeners,310.88
Office Supplies,Envelopes,"Strathmore #10 Envelopes, Ultimate White",309.93
Office Supplies,Paper,Xerox 1886,302.73
Technology,Phones,Innergie mMini Combo Duo USB Travel Charging Kit,302.33
Office Supplies,Labels,Avery 485,300.33
Technology,Phones,Cisco SPA 502G IP Phone,299.89
Office Supplies,Envelopes,"Blue String-Tie & Button Interoffice Envelopes, 10 x 13",299.86
Office Supplies,Fasteners,Staples,292.24
Office Supplies,Appliances,"Eureka The Boss Lite 10-Amp Upright Vacuum, Blue",291.78
Office Supplies,Appliances,Holmes Harmony HEPA Air Purifier for 17 x 20 Room,290.3
Furniture,Furnishings,Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base,289.57
Furniture,Furnishings,Dana Halogen Swing-Arm Architect Lamp,288.42
Office Supplies,Storage,"Mini 13-1/2 Capacity Data Binder Rack, Pearl",287.92
Technology,Accessories,Logitech Trackman Marble Mouse,286.71
Office Supplies,Paper,Xerox 1880,285.65
Technology,Phones,Nokia Lumia 925,284.74
Office Supplies,Binders,Premium Transparent Presentation Covers by GBC,284.06
Furniture,Chairs,"Global Push Button Manager's Chair, Indigo",283.74
Furniture,Chairs,Hon Every-Day Series Multi-Task Chairs,281.97
Office Supplies,Binders,GBC VeloBinder Manual Binding System,280.71
Technology,Accessories,Memorex Mini Travel Drive 16 GB USB 2.0 Flash Drive,280.27
Office Supplies,Paper,Xerox 1911,279.74
Office Supplies,Paper,Xerox 1940,279.19
Office Supplies,Paper,Xerox 1942,278.95
Office Supplies,Storage,"Trav-L-File Heavy-Duty Shuttle II, Black",278.85
Office Supplies,Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",277.28
Technology,Phones,Polycom SoundPoint Pro SE-225 Corded phone,276.05
Technology,Phones,Cisco Unified IP Phone 7945G VoIP phone,275.34
Technology,Accessories,Hypercom P1300 Pinpad,275.31
Office Supplies,Envelopes,"Tyvek  Top-Opening Peel & Seel  Envelopes, Gray",274.94
Technology,Phones,ClearOne Communications CHAT 70 OC Speaker Phone,273.47
Office Supplies,Paper,Xerox 1882,273.18
Technology,Phones,AT&T 1080 Phone,271.24
Technology,Machines,Star Micronics TSP100 TSP143LAN Receipt Printer,269.31
Furniture,Chairs,"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black",267.29
Furniture,Furnishings,Executive Impressions Supervisor Wall Clock,266.08
Office Supplies,Storage,"File Shuttle II and Handi-File, Black",260.95
Office Supplies,Paper,"Xerox Color Copier Paper, 11"" x 17"", Ream",260.83
Office Supplies,Binders,GBC Twin Loop Wire Binding Elements,259.59
Technology,Phones,Jabra Supreme Plus Driver Edition Headset,259.18
Office Supplies,Storage,"SAFCO Mobile Desk Side File, Wire Frame",259.14
Office Supplies,Paper,Xerox 1944,257.36
Furniture,Furnishings,"Howard Miller 11-1/2"" Diameter Brentwood Wall Clock",256.18
Technology,Accessories,Sony Micro Vault Click 16 GB USB 2.0 Flash Drive,255.32
Office Supplies,Paper,Xerox 1991,254.9
Furniture,Chairs,Harbour Creations 67200 Series Stacking Chairs,254.84
Office Supplies,Storage,Recycled Steel Personal File for Standard File Folders,254.33
Furniture,Chairs,"Iceberg Nesting Folding Chair, 19w x 6d x 43h",253.85
Technology,Phones,Plantronics HL10 Handset Lifter,250.54
Furniture,Furnishings,"Howard Miller 13-1/2"" Diameter Rosebrook Wall Clock",247.58
Furniture,Chairs,"Global Value Steno Chair, Gray",246.01
Office Supplies,Paper,Xerox 1951,244.76
Furniture,Furnishings,Deflect-o DuraMat Antistatic Studded Beveled Mat for Medium Pile Carpeting,244.38
Office Supplies,Labels,Avery 477,244.24
Office Supplies,Labels,Alphabetical Labels for Top Tab Filing,244.2
Technology,Phones,Logitech Mobile Speakerphone P710e - speaker phone,241.61
Office Supplies,Appliances,Eureka The Boss Cordless Rechargeable Stick Vac,241.13
Office Supplies,Paper,Xerox 1935,239
Office Supplies,Paper,Southworth 25% Cotton Premium Laser Paper and Envelopes,236.56
Office Supplies,Paper,Xerox 1910,236.36
Office Supplies,Paper,Xerox 1889,236.33
Office Supplies,Appliances,Kensington 6 Outlet MasterPiece HOMEOFFICE Power Control Center,235.53
Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",235.17
Office Supplies,Binders,Tuf-Vin Binders,234.33
Furniture,Chairs,"Situations Contoured Folding Chairs, 4/Set",234.24
Office Supplies,Storage,Advantus Rolling Drawer Organizers,233.18
Furniture,Chairs,Office Star - Ergonomic Mid Back Chair with 2-Way Adjustable Arms,231.65
Office Supplies,Appliances,Avanti 4.4 Cu. Ft. Refrigerator,231.65
Technology,Phones,Apple iPhone 5C,229.98
Furniture,Bookcases,"Hon Metal Bookcases, Gray",229.97
Technology,Phones,Samsung Rugby III,229.65
Office Supplies,Appliances,Kensington 7 Outlet MasterPiece Power Center,229.59
Furniture,Chairs,Global Deluxe Office Fabric Chairs,229.39
Technology,Phones,Cisco IP Phone 7961G VoIP phone - Dark gray,228.4
Technology,Accessories,Memorex Mini Travel Drive 64 GB USB 2.0 Flash Drive,228.3
Office Supplies,Envelopes,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",225.04
Office Supplies,Envelopes,"#10 White Business Envelopes,4 1/8 x 9 1/2",223.12
Furniture,Furnishings,"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39"" x 49""",222.89
Office Supplies,Storage,"Sauder Facets Collection Locker/File Cabinet, Sky Alder Finish",222.59
Office Supplies,Paper,"Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6” x 11”",221.85
Technology,Phones,Plantronics Cordless Phone Headset with In-line Volume - M214C,219.83
Technology,Machines,Lexmark 20R1285 X6650 Wireless All-in-One Printer,218.4
Technology,Phones,PureGear Roll-On Screen Protector,218.29
Office Supplies,Paper,Xerox 1887,216.26
Office Supplies,Binders,"Wilson Jones Ledger-Size, Piano-Hinge Binder, 2"", Blue",215.55
Technology,Accessories,"TRENDnet 56K USB 2.0 Phone, Internet and Fax Modem",212.28
Technology,Accessories,Logitech MX Performance Wireless Mouse,211.82
Technology,Phones,Mitel 5320 IP Phone VoIP phone,211.68
Office Supplies,Binders,Surelock Post Binders,210.87
Furniture,Tables,Bush Advantage Collection Round Conference Table,210.47
Technology,Phones,Cisco SPA508G,207.87
Office Supplies,Appliances,Belkin 5 Outlet SurgeMaster Power Centers,207.02
Furniture,Bookcases,"Global Adaptabilites Bookcase, Cherry/Storm Gray Finish",206.87
Office Supplies,Art,Boston 1645 Deluxe Heavier-Duty Electric Pencil Sharpener,206.26
Office Supplies,Storage,Eldon Mobile Mega Data Cart  Mega Stackable  Add-On Trays,205.76
Office Supplies,Paper,Xerox 1884,204.58
Furniture,Chairs,Global Italian Leather Office Chair,204.33
Technology,Phones,Mophie Juice Pack Helium for iPhone,201.57
Office Supplies,Appliances,Bionaire Personal Warm Mist Humidifier/Vaporizer,201.15
Office Supplies,Storage,Fellowes Bases and Tops For Staxonsteel/High-Stak Systems,201.08
Office Supplies,Paper,Xerox 1939,200.33
Office Supplies,Paper,Xerox 1937,199.84
Office Supplies,Storage,Home/Office Personal File Carts,198.13
Office Supplies,Storage,Eldon Portable Mobile Manager,197.4
Furniture,Furnishings,"Floodlight Indoor Halogen Bulbs, 1 Bulb per Pack, 60 Watts",197.1
Technology,Accessories,Imation Secure Drive + Hardware Encrypted USB flash drive - 16 GB,196.03
Technology,Phones,Samsung HM1900 Bluetooth Headset,195.38
Office Supplies,Paper,Xerox 197,195.18
Technology,Phones,Jackery Bar Premium Fast-charging Portable Charger,192.27
Furniture,Furnishings,Howard Miller Distant Time Traveler Alarm Clock,192.22
Technology,Machines,Lexmark X 9575 Professional All-in-One Color Printer,190.08
Technology,Accessories,Memorex Froggy Flash Drive 8 GB,189.59
Office Supplies,Appliances,Belkin 8 Outlet Surge Protector,188.52
Office Supplies,Paper,"IBM Multi-Purpose Copy Paper, 8 1/2 x 11"", Case",185.89
Office Supplies,Storage,Steel Personal Filing/Posting Tote,185.72
Office Supplies,Paper,Xerox 194,184.19
Technology,Accessories,Microsoft Wireless Mobile Mouse 4000,183.95
Furniture,Furnishings,9-3/4 Diameter Round Wall Clock,183.14
Office Supplies,Paper,Xerox 1925,182.79
Office Supplies,Binders,Binding Machine Supplies,182.6
Office Supplies,Storage,"Tennsco Snap-Together Open Shelving Units, Starter Sets and Add-On Units",181.67
Technology,Accessories,"Maxell 74 Minute CD-R Spindle, 50/Pack",181.19
Furniture,Furnishings,24-Hour Round Wall Clock,180.02
